days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed
0.75,1,1.61074147645228,7.96740704098319,0,1,89.25
2,1,5.61415493386192,5.92005100813733,1,0,283
1.25,1,2.37845681519923,9.04745346063291,1,0,577
4,1,5.47210170203758,9.14422903990346,1,0,581
1.75,1,7.67425196994362,6.42859425867074,1,0,1550
1.25,1,3.12702230950391,6.98705882959518,1,0,1612
1.5,1,5.73112830630871,9.91312559542392,1,0,3293
2.25,1,4.93819083737202,7.99555153822939,1,0,3422
4,1,7.59967426401015,8.06015588522467,1,0,3473
1.5,1,6.20117698677567,9.59300888988763,1,0,3865
3.5,1,4.33923769225546,7.10096840000566,0,1,4323.5
1.25,1,4.41150067890526,8.23424443724965,1,0,5247
2,1,5.99526304030591,9.39415992205922,1,0,5942
2.5,1,4.34578032883682,9.70053741166684,1,0,6165
1.75,1,5.06875888181748,6.31658305525916,1,0,6451
2.25,1,4.28098806372319,9.46444354262576,1,0,6913
1.75,1,2.53882591967045,7.57352114573405,0,1,7090.75
3.75,1,5.77546334976465,9.52696159354325,1,0,7093
2,1,5.32082237520773,7.83932033163689,1,0,7556
3,1,5.83430997757749,9.29156918214521,1,0,7564
2.25,1,7.64928584915518,9.36766197305895,1,0,7796
1.75,1,2.53551001931392,7.71528651714632,0,1,8140.25
3,1,5.51291330805022,8.14038099153675,1,0,8279
1.5,1,3.59195962627684,5.00815976141148,1,0,8491
1.5,1,4.89777475253256,9.99194531580832,1,0,8781
2.25,1,3.58193638723955,7.93416670328041,1,0,8826
3,1,7.84779297874952,5.31637063699021,1,0,9104
2.5,1,2.92993666557394,8.89798535123692,1,0,9123
1.75,1,4.10051758256388,6.66031787183418,1,0,9276
1.25,1,7.63081059271076,9.81944379424769,1,0,9337
2,1,4.50584158262198,9.86891769179161,1,0,9474
2.25,1,7.077091315091,9.3606654160871,1,0,9726
2.75,1,4.77828894393329,6.09686927099976,1,0,10659
3.75,1,4.76450355020807,7.29911772684102,1,0,10683
2.75,1,4.81788326162666,7.73173408010187,1,0,10987
2,1,2.91015381548802,6.45274326296159,0,1,10987.5
1.5,1,5.9513540886388,9.59290557947455,1,0,11301
1.5,1,2.32357562255343,8.29354478006972,0,1,12081.25
2.5,1,5.09842735479807,9.67519465741582,1,0,12778
2.25,1,4.24019357188864,9.27144723478998,1,0,12967
3.5,1,4.75513291948941,9.03680264442421,1,0,13495
1.75,1,6.88057776156135,5.71573956970371,1,0,13720
2,1,5.54132923505469,6.24978366239168,1,0,13786
1.5,1,8.32334900598383,8.53753171083603,1,0,13902
2,1,2.99154238216981,6.80663154540143,1,1,13907
3.75,1,4.87488116182674,9.39693718549054,1,0,13969
2.25,1,5.08873354001187,9.88971117049122,1,0,14896
1.25,1,2.14517745526234,8.66084801147778,0,1,15172.25
3.75,1,10.387052979356,8.58223360621474,1,0,15498
3.75,1,4.91728510066214,6.42940488344261,1,0,15897
3.75,1,7.41096088404702,8.73837781562899,1,0,16232
2.75,1,3.88736881644753,5.11432801374211,1,0,16682
2.5,1,3.29243712050801,8.21393755526344,0,1,16816
1.5,1,4.34827061661811,8.05188992606592,1,0,17282
1.75,1,6.92639382725387,6.62885241590218,1,0,17510
2.25,1,6.56783455534679,9.36550376406094,1,0,18293
3.5,1,5.86172531725214,8.17757321379547,1,0,18869
1.75,1,7.1898763550524,5.80319233939639,1,0,19371
